,links,citizen_vision,cop_vision,max_jail_term,Run,Quiescent,Active,Jailed,Fighting,Legitimacy,Peaks
0,2,2,10,34,0.0,654.0,32.0,449.0,0.0,0.5436838090215418,7.0
1,3,2,10,34,1.0,694.0,10.0,424.0,5.0,0.5643114023258091,7.0
2,2,18,10,34,2.0,694.0,10.0,424.0,5.0,0.5643114023258091,7.0
3,2,2,1,34,3.0,694.0,10.0,424.0,5.0,0.5643114023258091,7.0
4,2,2,10,45,4.0,694.0,10.0,424.0,5.0,0.5643114023258091,7.0
5,3,18,1,45,5.0,1110.0,4.0,16.0,1.0,0.8111263213979424,0.0
6,7,12,1,9,6.0,645.0,338.0,108.0,10.0,0.5002874455712577,4.0
7,8,12,1,9,7.0,637.0,300.0,126.0,13.0,0.4975897950512032,2.0
8,7,8,1,9,8.0,637.0,300.0,126.0,13.0,0.4975897950512032,2.0
9,7,12,11,9,9.0,637.0,300.0,126.0,13.0,0.4975897950512032,2.0
10,7,12,1,20,10.0,637.0,300.0,126.0,13.0,0.4975897950512032,2.0
11,8,8,11,20,11.0,1090.0,0.0,11.0,3.0,0.8129693140716849,0.0
12,9,7,15,46,12.0,693.0,1.0,439.0,0.0,0.5620732899967957,3.0
13,5,7,15,46,13.0,693.0,1.0,439.0,0.0,0.5620732899967957,3.0
14,9,3,15,46,14.0,662.0,2.0,395.0,19.0,0.5794090931571996,1.0
15,9,7,6,46,15.0,708.0,0.0,367.0,0.0,0.5989332368955905,1.0
16,9,7,15,8,16.0,1090.0,0.0,15.0,1.0,0.8089686090326669,0.0
17,5,3,6,8,17.0,708.0,0.0,367.0,0.0,0.5989332368955905,1.0
18,2,2,10,34,18.0,1090.0,0.0,15.0,1.0,0.8089686090326669,0.0
19,3,2,10,34,19.0,1090.0,0.0,15.0,1.0,0.8089686090326669,0.0
20,2,18,10,34,20.0,693.0,1.0,439.0,0.0,0.5620732899967957,3.0
21,2,2,1,34,21.0,1090.0,0.0,15.0,1.0,0.8089686090326669,0.0
22,2,2,10,45,22.0,693.0,1.0,439.0,0.0,0.5620732899967957,3.0
23,3,18,1,45,23.0,1090.0,0.0,15.0,1.0,0.8089686090326669,0.0
24,7,12,1,9,24.0,693.0,1.0,439.0,0.0,0.5620732899967957,3.0
25,8,12,1,9,25.0,693.0,1.0,439.0,0.0,0.5620732899967957,3.0
26,7,8,1,9,26.0,693.0,1.0,439.0,0.0,0.5620732899967957,3.0
27,7,12,11,9,27.0,693.0,1.0,439.0,0.0,0.5620732899967957,3.0
28,7,12,1,20,28.0,662.0,2.0,395.0,19.0,0.5794090931571996,1.0
29,8,8,11,20,29.0,662.0,2.0,395.0,19.0,0.5794090931571996,1.0
30,9,7,15,46,30.0,1071.0,0.0,24.0,1.0,0.8099271569933207,0.0
31,5,7,15,46,31.0,708.0,0.0,367.0,0.0,0.5989332368955905,1.0
32,9,3,15,46,32.0,730.0,0.0,401.0,11.0,0.5894822968458734,1.0
33,9,7,6,46,33.0,798.0,0.0,349.0,0.0,0.6225689814586669,1.0
34,9,7,15,8,34.0,643.0,270.0,124.0,3.0,0.5243314741415949,9.0
35,5,3,6,8,35.0,662.0,2.0,395.0,19.0,0.5794090931571996,1.0
